I'm taking my children to kindergarten.; Ich bringe meine Kinder in den Kindergarten.
The elementary school is far away from our flat.; Die Grundschule ist weit weg von unserer Wohnung.
There were a lot of students at my secondary school.; Auf meiner weiterführenden Schule waren viele Schüler.
In Germany there are four types of secondary schools.; In Deutschland gibt es vier Arten von weiterführenden Schulen.
My son is looking for a secondary school.; Mein Sohn sucht eine weiterführende Schule aus.
The queue at the citizen's registration office is way too long.; Die Schlange im Bürgeramt ist viel zu lang.
Tomorrow I have to go to employment agency.; Morgen muss ich zum Arbeitsamt.
There is always a lot going on at the immigration office.; In der Ausländerbehörde ist immer viel los.
When someone move to a new city he must register at the Citizen's registration office.; Wenn jemand in eine neue Stadt zieht, muss er sich bei das Bürgeramt anmelden.
The kindergarten is a long way from here.; Der Kindergarten ist weit weg von hier.
It is difficult to choose a secondary school.; Es ist schwierig, eine weiterführende Schule auszusuchen.
Every district has a employment agency.; Jeder Bezirk hat ein Arbeitsamt.
Last year I visited my old elementary school.; Letztes Jahr habe ich meine alte Grundschule besucht.
For Easter my dad always put on a large buffet.;An Ostern hat mein Papa immer ein großes Buffet ausgerichtet.
I got chocolate at Easter.;Zu Ostern habe ich Schokolade bekommen.
Last year we went to Portugal over Pentecost.;Letztes Jahr sind wir über Pfingsten nach Portugal gefahren.
I'm going to the concert at the Brandenburg Gate on German Unity Day.;Am Tag der Deutschen Einheit gehe ich zum Konzert am Brandenburger Tor.
Pentecost is celebrated in May and is a Christian holiday.;Pfingsten wird im Mai gefeiert und ist ein christlicher Feiertag.
Christmas with my family can be a bit stressful, so I usually spend the day with friends.;Da Weihnachten mit der Familie ein bisschen stressig sein kann, verbringe ich den Tag normalerweise mit Freunden.
Nicola had to clean for four hours after her last New Year's Eve party.;Nicola musste nach ihrer letzten Silvesterparty vier Stunden lang putzen.
In Germany it is usually cold over Christmas.;In Deutschland ist es über Weihnachten meistens kalt.
